Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
16,7/23/2003,197.5,Pau,Bayonne,Stage with mountain(s),Tyler Hamilton,USA
17,7/24/2003,181,Dax,Bordeaux,Plain stage,Servais Knaven,NED
18,7/25/2003,203.5,Bordeaux,Saint-Maixent-l'École,Plain stage,Pablo Lastras,ESP
19,7/26/2003,49,Pornic,Nantes,Individual time trial,David Millar,GBR
20,7/27/2003,152,Ville-d'Avray,Paris,Plain stage,Jean-Patrick Nazon,FRA
P,7/6/2002,7,Luxembourg City,Luxembourg City,Individual time trial,Lance Armstrong,USA
1,7/7/2002,192.5,Luxembourg City,Luxembourg City,Plain stage,Rubens Bertogliati,SUI
2,7/8/2002,181,Luxembourg City,Saarbrücken,Plain stage,Óscar Freire,ESP
3,7/9/2002,174.5,Metz,Reims,Plain stage,Robbie McEwen,AUS
4,7/10/2002,67.5,Épernay,Château-Thierry,Team time trial,ONCE–Eroski,
5,7/11/2002,195,Soissons,Rouen,Plain stage,Jaan Kirsipuu,EST
6,7/12/2002,199.5,Forges-les-Eaux,Alençon,Plain stage,Erik Zabel,GER
7,7/13/2002,176,Bagnoles-de-l'Orne,Avranches,Plain stage,Bradley McGee,AUS
8,7/14/2002,217.5,Saint-Martin-de-Landelles,Plouay,Plain stage,Karsten Kroon,NED
9,7/15/2002,52,Lanester,Lorient,Individual time trial,Santiago Botero,COL
10,7/17/2002,147,Bazas,Pau,Plain stage,Patrice Halgand,FRA
11,7/18/2002,158,Pau,La Mongie,Stage with mountain(s),Lance Armstrong,USA
12,7/19/2002,199.5,Lannemezan,Plateau de Beille,Stage with mountain(s),Lance Armstrong,USA
13,7/20/2002,171,Lavelanet,Béziers,Plain stage,David Millar,GBR
14,7/21/2002,221,Lodève,Mont Ventoux,Stage with mountain(s),Richard Virenque,FRA
15,7/23/2002,226.5,Vaison-la-Romaine,Les Deux Alpes,Hilly stage,Santiago Botero,COL
16,7/24/2002,179.5,Les Deux Alpes,La Plagne,Stage with mountain(s),Michael Boogerd,NED
17,7/25/2002,142,Aime,Cluses,Stage with mountain(s),Dario Frigo,ITA
18,7/26/2002,176.5,Cluses,Bourg-en-Bresse,Hilly stage,Thor Hushovd,NOR
19,7/27/2002,50,Régnié-Durette,Mâcon,Individual time trial,Lance Armstrong,USA
20,7/28/2002,144,Melun,Paris,Plain stage,Robbie McEwen,AUS
P,7/7/2001,8.2,Dunkirk,Dunkirk,Individual time trial,Christophe Moreau,FRA
1,7/8/2001,194.5,Saint-Omer,Boulogne-sur-Mer,Plain stage,Erik Zabel,GER
2,7/9/2001,220.5,Calais,Antwerp,Plain stage,Marc Wauters,BEL
3,7/10/2001,198.5,Antwerp,Seraing,Plain stage,Erik Zabel,GER
4,7/11/2001,215,Huy,Verdun,Plain stage,Laurent Jalabert,FRA
5,7/12/2001,67,Verdun,Bar-le-Duc,Team time trial,Crédit Agricole,
6,7/13/2001,211.5,Commercy,Strasbourg,Plain stage,Jaan Kirsipuu,EST
7,7/14/2001,162.5,Strasbourg,Colmar,Hilly stage,Laurent Jalabert,FRA
8,7/15/2001,222.5,Colmar,Pontarlier,Plain stage,Erik Dekker,NED
9,7/16/2001,185,Pontarlier,Aix-les-Bains,Plain stage,Serguei Ivanov,RUS
10,7/17/2001,209,Aix-les-Bains,Alpe d'Huez,Stage with mountain(s),Lance Armstrong,USA
11,7/18/2001,32,Grenoble,Chamrousse,Individual time trial,Lance Armstrong,USA
12,7/20/2001,166.5,Perpignan,Plateau de Bonascre,Stage with mountain(s),Félix Cárdenas,COL
13,7/21/2001,194,Foix,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Lance Armstrong,USA
14,7/22/2001,141.5,Tarbes,Luz Ardiden,Stage with mountain(s),Roberto Laiseka,ESP
15,7/24/2001,232.5,Pau,Lavaur,Plain stage,Rik Verbrugghe,BEL
16,7/25/2001,229.5,Castelsarrasin,Sarran,Plain stage,Jens Voigt,GER
17,7/26/2001,194,Brive-la-Gaillarde,Montluçon,Plain stage,Serge Baguet,BEL
18,7/27/2001,61,Montluçon,Saint-Amand-Montrond,Individual time trial,Lance Armstrong,USA
19,7/28/2001,149.5,Orléans,Évry,Plain stage,Erik Zabel,GER
20,7/29/2001,160.5,Corbeil-Essonnes,Paris,Plain stage,Ján Svorada,CZE
1,7/1/2000,16.5,Futuroscope,Futuroscope,Individual time trial,David Millar,GBR
2,7/2/2000,194,Futuroscope,Loudun,Plain stage,Tom Steels,BEL
3,7/3/2000,161.5,Loudun,Nantes,Plain stage,Tom Steels,BEL
4,7/4/2000,70,Nantes,Saint-Nazaire,Team time trial,ONCE–Deutsche Bank,
5,7/5/2000,202,Vannes,Vitré,Plain stage,Marcel Wüst,GER
6,7/6/2000,198.5,Vitré,Tours,Plain stage,Leon van Bon,NED
7,7/7/2000,205.5,Tours,Limoges,Plain stage,Christophe Agnolutto,FRA
8,7/8/2000,203.5,Limoges,Villeneuve-sur-Lot,Plain stage,Erik Dekker,NED
9,7/9/2000,181,Agen,Dax,Plain stage,Paolo Bettini,ITA
10,7/10/2000,205,Dax,Hautacam,Stage with mountain(s),Javier Otxoa,ESP
11,7/11/2000,218.5,Bagnères-de-Bigorre,Revel,Hilly stage,Erik Dekker,NED
12,7/13/2000,149,Carpentras,Mont Ventoux,Stage with mountain(s),Marco Pantani,ITA
13,7/14/2000,185.5,Avignon,Draguignan,Plain stage,José Vicente Garcia,ESP
14,7/15/2000,249.5,Draguignan,Briançon,Stage with mountain(s),Santiago Botero,COL
15,7/16/2000,173.5,Briançon,Courchevel,Stage with mountain(s),Marco Pantani,ITA
16,7/18/2000,196.5,Courchevel,Morzine,Stage with mountain(s),Richard Virenque,FRA
17,7/19/2000,155,Évian-les-Bains,Lausanne,Hilly stage,Erik Dekker,NED
18,7/20/2000,246.5,Lausanne,Freiburg,Plain stage,Salvatore Commesso,ITA
19,7/21/2000,58.5,Freiburg,Mulhouse,Individual time trial,Lance Armstrong,USA
20,7/22/2000,254.5,Belfort,Troyes,Plain stage,Erik Zabel,GER
21,7/23/2000,138,Paris,Paris,Plain stage,Stefano Zanini,ITA
P,7/3/1999,6.8,Le Puy du Fou,Le Puy du Fou,Individual time trial,Lance Armstrong,USA
1,7/4/1999,208,Montaigu,Challans,Plain stage,Jaan Kirsipuu,EST
2,7/5/1999,176,Challans,Saint-Nazaire,Plain stage,Tom Steels,BEL
3,7/6/1999,194.5,Nantes,Laval,Plain stage,Tom Steels,BEL
4,7/7/1999,194.5,Laval,Blois,Plain stage,Mario Cipollini,ITA
5,7/8/1999,233.5,Bonneval,Amiens,Plain stage,Mario Cipollini,ITA
6,7/9/1999,171.5,Amiens,Maubeuge,Plain stage,Mario Cipollini,ITA
7,7/10/1999,227,Avesnes-sur-Helpe,Thionville,Plain stage,Mario Cipollini,ITA
8,7/11/1999,56.5,Metz,Metz,Individual time trial,Lance Armstrong,USA
9,7/13/1999,213.5,Le Grand-Bornand,Sestrières,Stage with mountain(s),Lance Armstrong,USA
10,7/14/1999,220.5,Sestrières,Alpe d'Huez,Stage with mountain(s),Giuseppe Guerini,ITA
11,7/15/1999,198.5,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Ludo Dierckxsens,BEL
12,7/16/1999,201.5,Saint-Galmier,Saint-Flour,Hilly stage,David Etxebarria,ESP
13,7/17/1999,236.5,Saint-Flour,Albi,Hilly stage,Salvatore Commesso,ITA
14,7/18/1999,199,Castres,Saint-Gaudens,Plain stage,Dmitri Konychev,RUS
15,7/20/1999,173,Saint-Gaudens,Piau-Engaly,Stage with mountain(s),Fernando Escartín,ESP
16,7/21/1999,192,Lannemezan,Pau,Stage with mountain(s),David Etxebarria,ESP
17,7/22/1999,200,Mourenx,Bordeaux,Plain stage,Tom Steels,BEL
18,7/23/1999,187.5,Jonzac,Futuroscope,Plain stage,Giampaolo Mondini,ITA
19,7/24/1999,57,Futuroscope,Futuroscope,Individual time trial,Lance Armstrong,USA
20,7/25/1999,143.5,Arpajon,Paris,Plain stage,Robbie McEwen,AUS
P,7/11/1998,5.6,Dublin,Dublin,Individual time trial,Chris Boardman,GBR
1,7/12/1998,180.5,Dublin,Dublin,Plain stage,Tom Steels,BEL
2,7/13/1998,205.5,Enniscorthy,Cork,Plain stage,Ján Svorada,CZE
3,7/14/1998,169,Roscoff,Lorient,Plain stage,Jens Heppner,GER
4,7/15/1998,252,Plouay,Cholet,Plain stage,Jeroen Blijlevens,NED
5,7/16/1998,228.5,Cholet,Châteauroux,Plain stage,Mario Cipollini,ITA
6,7/17/1998,204.5,La Châtre,Brive-la-Gaillarde,Plain stage,Mario Cipollini,ITA
7,7/18/1998,58,Meyrignac-l'Église,Corrèze,Individual time trial,Jan Ullrich,GER
8,7/19/1998,190.5,Brive-la-Gaillarde,Montauban,Plain stage,Jacky Durand,FRA
9,7/20/1998,210,Montauban,Pau,Plain stage,Leon van Bon,NED
10,7/21/1998,196.5,Pau,Luchon,Stage with mountain(s),Rodolfo Massi,ITA
