Rider,rank_start,point_start,win,podium,top_ten,points,race_days,win_dauphine,podium_dauphine,top_ten_dauphine,points_dauphine
OLIVEIRA Nelson Filipe Santos Simoes,136.0,422.0,1,2,4,101,33,0.0,0.0,0.0,5.0
ALBASINI Michael,170.0,357.0,1,4,5,360,47,0.0,1.0,1.0,33.0
DURBRIDGE Luke,269.0,260.0,0,1,3,144,36,0.0,1.0,1.0,23.0
HAYMAN Mathew,560.0,116.0,1,1,1,310,26,0.0,0.0,0.0,0.0
IMPEY Daryl,103.0,499.0,1,2,8,103,45,0.0,0.0,2.0,7.0
JUUL JENSEN Christopher,163.0,371.0,0,1,7,137,38,0.0,0.0,1.0,5.0
MATTHEWS Michael,17.0,1226.0,3,5,11,439,28,0.0,1.0,3.0,21.0
YATES Adam,77.0,599.0,0,2,11,297,33,0.0,1.0,5.0,125.0
BERHANE Natnael Teweldemedhin,247.0,280.0,0,1,1,92,39,0.0,0.0,0.0,26.0
BOASSON HAGEN Edvald,26.0,1068.0,8,11,26,899,45,1.0,1.0,3.0,65.0
CUMMINGS Stephen,123.0,452.0,3,3,3,190,27,1.0,1.0,1.0,50.0
JANSE VAN RENSBURG Reinardt,397.0,180.0,1,6,12,311,50,0.0,0.0,1.0,6.0
PAUWELS Serge,194.0,333.0,0,2,6,154,37,0.0,1.0,1.0,23.0
TEKLEHAIMANOT Daniel Girmazion,564.0,115.0,2,3,3,94,32,0.0,0.0,0.0,5.0
BARGUIL Warren,128.0,443.0,0,4,10,432,28,0.0,3.0,6.0,223.0
CURVERS Roy,361.0,197.0,0,0,1,44,28,0.0,0.0,0.0,5.0
DEGENKOLB John,13.0,1412.0,0,0,3,21,14,0.0,0.0,1.0,6.0
GESCHKE Simon,200.0,328.0,0,0,3,79,41,0.0,0.0,1.0,5.0
SINKELDAM Ramon,151.0,395.0,0,0,1,90,22,0.0,0.0,0.0,0.0
TEN DAM Laurens,819.0,65.0,0,0,2,59,32,0.0,0.0,0.0,5.0
GUARNIERI Jacopo,669.0,90.0,0,1,2,104,29,0.0,0.0,0.0,5.0
HALLER Marco,191.0,336.0,0,0,2,54,32,0.0,0.0,0.0,5.0
KRISTOFF Alexander,2.0,2737.0,8,18,24,1093,47,0.0,1.0,1.0,33.0
LOSADA ALGUACIL Alberto,453.0,156.0,0,0,0,48,26,0.0,0.0,0.0,5.0
RODRIGUEZ OLIVER Joaquim,7.0,1750.0,0,0,6,278,38,0.0,0.0,1.0,0.0
VICIOSO ARCOS Angel,346.0,202.0,0,1,1,128,34,0.0,0.0,0.0,5.0
BENNETT George,412.0,174.0,0,1,3,156,36,0.0,0.0,0.0,42.0
KELDERMAN Wilco,69.0,620.0,0,4,13,442,42,0.0,0.0,5.0,121.0
LINDEMAN Bert-Jan,382.0,187.0,0,0,1,30,38,0.0,0.0,0.0,5.0
MARTENS Paul,416.0,173.0,0,1,1,83,35,0.0,0.0,0.0,5.0
FROOME Chris,4.0,1973.0,5,7,15,630,31,2.0,3.0,6.0,356.0
HENAO MONTOYA Sergio Luis,39.0,916.0,0,8,14,719,35,0.0,0.0,0.0,48.0
KIRYIENKA Vasil,80.0,589.0,0,1,4,34,40,0.0,0.0,0.0,18.0
LANDA MEANA Mikel,34.0,967.0,3,5,8,435,40,0.0,0.0,0.0,54.0
POELS Wout,64.0,637.0,5,6,14,738,41,0.0,0.0,2.0,24.0
